filename,source_file,label,sentinel_fraction,qc_flag
SICM_090224_1359_000t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1359_000t.img,noncancerous,0.0,False
SICM_090224_1406_001t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1406_001t.img,noncancerous,0.0,False
SICM_090224_1409_002t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1409_002t.img,noncancerous,0.0,False
SICM_090224_1422_003t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1422_003t.img,noncancerous,0.033,True
SICM_090224_1425_004t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1425_004t.img,noncancerous,0.033,True
SICM_090224_1427_005t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1427_005t.img,noncancerous,0.0,False
SICM_090224_1436_006t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1436_006t.img,noncancerous,0.0,False
SICM_090224_1439_007t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1439_007t.img,noncancerous,0.0,False
SICM_090224_1442_008t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1442_008t.img,noncancerous,0.0,False
SICM_090224_1445_009t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1445_009t.img,noncancerous,0.0098,False
SICM_090224_1449_010t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1449_010t.img,noncancerous,0.0,False
SICM_090224_1452_011t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1452_011t.img,noncancerous,0.0,False
SICM_090224_1502_012t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1502_012t.img,noncancerous,0.0,False
SICM_090224_1505_013t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1505_013t.img,noncancerous,0.0,False
SICM_090224_1508_014t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1508_014t.img,noncancerous,0.033,True
SICM_090224_1510_015t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1510_015t.img,noncancerous,0.0,False
SICM_090224_1554_016t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1554_016t.img,noncancerous,0.0,False
SICM_090224_1557_017t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1557_017t.img,noncancerous,0.0,False
SICM_090224_1600_018t.png,/home/claude/data/2024_02_09/2024_02_09/SICM_090224_1600_018t.img,noncancerous,0.0,False
